,index,response,noun_phrase,content,determinant,figure
79,0,"Some kind of roots, like the Sepultura logo (orange lines) Some kind of symbiotic matter that fuses together.",Some kind of roots like the Sepultura logo (orange lines) Some kind of symbiotic matter that fuses together,Obj,K,Figure_9
80,0,A character with wings (green).,A character with wings (green),"Art, Hd",F,Figure_9
81,0,"It's quite contemporary art, like Miro.",quite contemporary art like Miro,Ge,FC,Figure_10
82,0,Two species of little bugs fighting over what's in the middle (black).,Two species of little bugs fighting over what 's in the middle (black),A,"F, kan",Figure_10
83,0,Octopuses or alien policemen trying to separate them (blue).,Octopuses,"('A', 'Octopuses')","('kan', 'Octopuses')",Figure_10
84,1,Octopuses or alien policemen trying to separate them (blue).,alien policemen,"('(A)', 'alien policemen')","('FE', 'alien policemen')",Figure_10
85,0,Two little suns or comets (yellow).,Two little suns,"('A', 'Two little suns')","('""CF""', 'Two little suns')",Figure_10
86,1,Two little suns or comets (yellow).,comets (yellow),"('Elem', 'comets (yellow)')","('CF, K', 'comets (yellow)')",Figure_10
87,0,Two caterpillars or the letter Omega with a spider or tuning fork at the tip (green).,Two,"('Elem, Nat', 'Two')","('K', 'Two')",Figure_10
88,1,Two caterpillars or the letter Omega with a spider or tuning fork at the tip (green).,the letter Omega with a spider,"('H, Sc', 'the letter Omega with a spider')","('F', 'the letter Omega with a spider')",Figure_10
89,2,Two caterpillars or the letter Omega with a spider or tuning fork at the tip (green).,Two caterpillars or the letter Omega with a spider,"('H', 'Two caterpillars or the letter Omega with a spider')","('K', 'Two caterpillars or the letter Omega with a spider')",Figure_10
90,3,Two caterpillars or the letter Omega with a spider or tuning fork at the tip (green).,the tip (green),"('A, Art', 'the tip (green)')","('kan', 'the tip (green)')",Figure_10
91,0,Two kinds of embryos spitting out blue matter (pink).,Two kinds of embryos,(Ad),F,Figure_10
92,0,"Two kinds of ants with a black+yellow flame, catching up with the two things there (orange) or the Ghostrider's motorcycle.",Two kinds of ants with a black+yellow flame catching up with the two things there (orange),"('Elem, Nat', 'Two kinds of ants with a black+yellow flame catching up with the two things there (orange)')","('CF', 'Two kinds of ants with a black+yellow flame catching up with the two things there (orange)')",Figure_10
93,1,"Two kinds of ants with a black+yellow flame, catching up with the two things there (orange) or the Ghostrider's motorcycle.",the Ghostrider 's motorcycle,"('A', ""the Ghostrider 's motorcycle"")","('kan', ""the Ghostrider 's motorcycle"")",Figure_10
94,0,"I also see two eyes with strange mouths: the green is the horns, the blue the mouth, the gray an electric razor or some kind of sonic screwdriver.",strange mouths,"('(H), Art', 'strange mouths')","('CF', 'strange mouths')",Figure_10
95,1,"I also see two eyes with strange mouths: the green is the horns, the blue the mouth, the gray an electric razor or some kind of sonic screwdriver.",some kind of sonic screwdriver,"('Hd', 'some kind of sonic screwdriver')","('F', 'some kind of sonic screwdriver')",Figure_10
96,0,"Two figures with a blue ponpon are liquefying, perhaps made of skin and air (pink).",Two figures with a blue ponpon,"('(H)', 'Two figures with a blue ponpon')","('""FC""', 'Two figures with a blue ponpon')",Figure_10
97,1,"Two figures with a blue ponpon are liquefying, perhaps made of skin and air (pink).",air (pink),"('Obj', 'air (pink)')","('CF, K', 'air (pink)')",Figure_10
98,0,The two ants will try to put a cap on them to stop them deflating.,The two ants,A,kan,Figure_10
99,0,"Two back brushes, a hairbrush or an odd compass (orange).",Two back brushes a hairbrush,"('Ad', 'Two back brushes a hairbrush')","('F, kan', 'Two back brushes a hairbrush')",Figure_10
100,1,"Two back brushes, a hairbrush or an odd compass (orange).",an odd compass (orange),"('(H), Art, Obj', 'an odd compass (orange)')","('K', 'an odd compass (orange)')",Figure_10
101,0,"Finally, the two caterpillars have their astral projections coming out of their bodies.",the two caterpillars,"H, Sc",F,Figure_10
102,0,Two people supporting each other so as not to lose their balance and fall (central blue).,Two people supporting each other so as not to lose their balance,"('H', 'Two people supporting each other so as not to lose their balance')","('K', 'Two people supporting each other so as not to lose their balance')",Figure_10
103,1,Two people supporting each other so as not to lose their balance and fall (central blue).,(central blue),"('A', '(central blue)')","('kan', '(central blue)')",Figure_10
