Unnamed: 0,Réponse (French),Answer (English),Déterminant,Contenu
57,"Ça me fait penser à un
 animal marin dont j’ai oublié le
 nom Comme je ne le vois pas comme
 un tout, le côté dissymétrique me
 choque moins. D’ailleurs, il y en a
 moins j’ai l’impression.","It reminds me of a
 marine animal whose name I forgot
 noun As I don't see it as
 a whole, the asymmetrical side me
 shocks less. Moreover, there are
 less I feel.",F+/-,A
58,"Ça, c’est un nœud
 papillon mais c’est assez classique","That's a knot
 butterfly but it’s quite classic",F+,Vet
59,"Si on enlève le nœud
 papillon, il y a un serveur ici
 (cache droite), qui s’apprête à
 retirer une chaise et qui est
 légèrement en arrière et il y a
 quelqu’un qui fait la même chose
 de l’autre côté. Mais du coup, la
 table est minuscule.
 Mais là t’as vraiment le serveur
 avec la tête, les bras sur la chaise
 et avec les jambes et hum voilà
 (montre sur l’image).˄ Les tâches là m’évoquent pas
 grand-chose","If we remove the knot
 butterfly, there is a waiter here
 (right cover), which is about to
 remove a chair and who is
 slightly back and there is
 someone who does the same thing
 on the other side. But suddenly, the
 table is tiny.
 But there you really have the server
 with head, arms on chair
 and with the legs and um there you go
 (shown in the image).˄ The tasks there don’t remind me of
 much",KC’+ -,H /Obj
60,"Et alors comme ça, dans
 le sens-là, pour moi, un insecte,
 des gros yeux là (montre), des
 mandibules là (montre), et les
 papattes là (montre). Une fois
 encore, ça sous-entend d’occulter ça (cache les deux taches rouges
 de chaque côté en bas avec ses
 mains).Et en fait, je l’aime bien celui-ci
 par rapport aux autres","And then like that, in
 that means, for me, an insect,
 big eyes there (points),
 mandibles there (shows), and the
 papattes there (shows). Once
 again, that implies concealing that (hide the two red spots
 on each side at the bottom with its
 hands).And actually, I like this one
 compared to others",FC’+/-,A
61,"Une fois encore tu peux
 reconnaitre des têtes (montre),
 t’aura quelqu’un qui ferait… je
 sais pas… Genre une fois encore
 les jambes (montre), et qui est en
 train de…
 Et là les bras encore, et qui est en
 train de s’étendre derrière comme
 ça (mime), comme s’il faisait de la
 gym avec les jambes en l’air.
 (cache le bas de l’image avec ses
 mains).Ouai faut un peu d’imagination
 mais heu…. Ça se fait encore bien.
 Après je suis d’accord que les
 formes et les proportions sont pas
 respectées mais c’est le truc que je
 vois en tous cas.˅ Ces tâches-là m’inspirent
 vraiment pas, nulle part je les vois
 dans aucuns trucs en fait.","Once again you can
 recognize heads (show),
 you will have someone who would… I
 I don’t know… Like once again
 legs (shows), and who is in
 train of…
 And there the arms again, and who is in
 stretching out behind like
 that (mimes), as if he were doing
 gym with legs in the air.
 (hides the bottom of the image with its
 hands).Yeah, you need a little imagination
 but uh…. It's still doing well.
 Afterwards I agree that the
 shapes and proportions are not
 respected but that’s the thing I
 see in any case.˅ These tasks inspire me
 really not, nowhere do I see them
 in no stuff actually.",KC’+,H
62,"Ce qui est drôle dans le
 personnage qui remonte là c’est
 que genre il a une espèce de crête,
 tu vois, les cheveux un peu
 n’importe comment, genre un
 style…","What's funny about
 character who goes back there is
 that like it has a kind of crest,
 you see, the hair a little
 anyhow, like one
 style…",FC’+,Hd
63,"Comme ça, ça me fait
 penser à… que le creux, les deux
 trous là en fait (montre), quand tu
 regardes un crâne sur une radio ça
 fait vraiment le trou des yeux
 parce qu’en fait c’est comme si
 t’avais le changement de densité
 ici (montre)","Like that, it makes me
 think about… that the hollow, the two
 holes there actually (show), when you
 look at a skull on a radio
 really catches the eye
 because in fact it’s as if
 you had the change in density
 here (shows)",EFC’-,Anat/Radio
64,"Du coup ça me fait
 penser, si je peux inclure ça
 comme infos, au squelette, ça va te
 faire rire, de Indépendance Day,
 des méchants, des extraterrestres,
 c’est un espèce de squelette
 chelou, super évasé comme ça,
 voilà.","So it makes me
 think, if I can include that
 as information, to the skeleton, it suits you
 make people laugh, from Independence Day,
 bad guys, aliens,
 it's a kind of skeleton
 weird, super flared like that,
 There.",EC’F,"Squel / Art
 / (H)"
65,"Ça casse tout car ça me
 fait penser à beaucoup de choses
 ici, genre une tête bah un buffle ou
 un sanglier, un truc comme ça tu
 vois (cache le reste de la planche
 avec ses mains).","It breaks everything because it
 makes you think of a lot of things
 here, like a head, a buffalo or
 a wild boar, something like that you
 see (hide the rest of the board
 with his hands).",F+,Ad
66,"Et si tu le mets comme ça
 (incline la planche), ça fait des
 visages mais bon bref on s’en fout
 des détails","And if you put it like that
 (tilts the board), it makes
 faces but in short we don't care
 details",F-,Hd
67,"Ça ça me fait penser à des
 oreilles de cochons, je sais pas pourquoi mais tu sais les oreilles
 de cochons qui sont rabaissées","That makes me think of
 pig ears, I don't know why but you know ears
 of pigs who are demeaned",F+,Ad
68,"Et quand tu caches comme
 ça, (enlève la tête de buffle) je suis
 sur le dos d’un cochon genre en
 train de le chevaucher, parce qu’en
 fait, t’as les oreilles et t’as le bout
 du nez, t’as même des épaules ça
 fait plus minotaure que cochon,
 c’est des épaules qui remontent
 Et tu vois tous ses trucs là, ces
 changements de densité, je sais
 pas, ça fait vachement pelage en
 fait, comme si t’étais derrière un
 minotaure comme ça.","And when you hide like
 that, (removes the buffalo head) I am
 on the back of a pig like in
 riding him, because
 done, you have the ears and you have the edge
 nose, you even have shoulders
 more minotaur than pig,
 it's shoulders that go up
 And you see all his stuff there, these
 density changes, I know
 no, it's really confusing
 done, as if you were behind a
 minotaur like that.",KC’E-,(A)
69,"Alors ça c’est une ligne (la
 trace avec son doigt), de l’eau
 (montre le bas), pas de l’eau (montre le haut), pour faire simple
 ou l’inverse","So that’s a line (the
 trace with his finger), water
 (shows the bottom), not water (shows the top), to put it simply
 or the opposite",FEC’-,Elem
70,"Tu vois le fait que là ça
 part en profondeur par là-bas tu
 vois (à gauche), genre ici tu peux
 avoir des nénuphars, des machins,
 des trucs comme ça, et tu passes à
 côté de la flotte et tu as genre un
 lac ou un truc comme ça","You see the fact that there
 go deep over there you
 see (left), like here you can
 have water lilies, things,
 stuff like that, and you move on to
 side of the fleet and you have like a
 lake or something like that",FEC’-,"Scen / Bot
 / Elem"
71,"En fait, on a l’impression
 que c’est un lac ou un canal plutôt,
 ça c’est le bord du canal ici
 (montre la ligne), donc tu as le
 reflet, ce qui est drôle car la nuit,
 t’as pas de reflet parce que t’as pas
 assez de lumière mais comme
 c’est sombre ça donne envie
 d’imaginer la nuit.","In fact, we have the impression
 whether it is a lake or a canal rather,
 This is the edge of the canal here
 (shows the line), so you have the
 reflection, which is funny because at night,
 you don't have a reflection because you don't have
 enough light but like
 it’s dark it makes you want
 to imagine the night.",FEC’-,Pays
72,"T’as même si tu regardes
 bien tu as des espèces d’ombres
 ici, tu peux imaginer des gens qui
 se baladent, une fois encore
 comme c’est rare la nuit ou alors
 tu imagines le côté brumeux","You even if you look
 well you have some kind of shadows
 here you can imagine people who
 wander around, once again
 how rare it is at night or so
 you imagine the foggy side",C’KE-,"Scen / Frag
 / H"
73,"Ça ça me fait penser à un
 panache de train, je sais même pas
 si c’est pertinent ou pas","That reminds me of a
 train plume, I don't even know
 whether it's relevant or not",E-,Frag
74,"Bah ça on dirait un
 papillon de nuit,","Well that looks like a
 night butterfly,",FC’+,A
75,"Ça me fait penser à
 Batman aussi (rires) Hum ça me fait penser au papillon
 de nuit plus qu’à Batman
 Et le papillon de nuit, et là je te
 raconte des histoires aussi, tu vois
 je t’avais dit qu’il me fallait un
 peu de temps pour me dérider,
 j’aurai plus de trucs à dire sur les
 cinq dernières du coup, je suis
 désolée (rires)
 Hum l’ambiance, le fait qu’on
 passe un test, que ce soit le
 Rorschach donc il y a un côté test plus psychologique que de
 personnalité dans ma tête mais
 voilà
 Le papillon de nuit ça me fait
 penser à, comment ça s’appelle, le
 silence des agneaux, et tout son
 thème autour du changement et de
 l’évolution que je trouve pour le
 coup très intéressant et qui est
 symbolisé par le papillon plus que
 le papillon de nuit mais heu par le
 papillon, par le côté hum, chenille,
 chrysalide, et changement de peau
 tu vois. Pour le coup, le film est un
 peu flippant mais assez sympa
 Après, moi, Qu’est
 -ce que ça veut
 dire par rapport à moi bah …. Je
 sais pas mais je te partage ce à
 quoi je pense et ça me fait penser à
 ça.
 Humm voilà voilà
 Après si je te partage plus que ça,
 c’est plus par rapport à l’image
 mais faut que tu me dises si c’est
 cohérent ou pas car du coup là je
 vais parler de moins en moins de
 l’image. (réponse : il faut parler de
 l’image, ce que tu vois )
 Le papillon il a des yeux chelou","It makes me think of
 Batman too (laughs) Hm, that reminds me of the butterfly
 at night more than at Batman
 And the moth, and there I
 tell stories too, you see
 I told you I needed one
 little time to relax,
 I will have more things to say about
 last five so, I am
 sorry (laughs)
 Hum the atmosphere, the fact that we
 take a test, whether it is
 Rorschach so there is a more psychological test side than
 personality in my head but
 There
 The moth makes me
 think about, what is it called, the
 silence of the lambs, and all its
 theme around change and
 the evolution that I find for the
 very interesting shot and which is
 symbolized by the butterfly more than
 the moth but uh by the
 butterfly, from the side hum, caterpillar,
 chrysalis, and skin change
 you see. For once, the film is a
 a bit creepy but quite nice
 Afterwards, me, what
 -whatever it wants
 say in relation to me bah…. I
 I don't know but I'll share this with you
 what I think and it makes me think of
 That.
 Hmm, there you go
 Afterwards if I share more than that with you,
 it's more compared to the image
 but you have to tell me if it’s
 coherent or not because then I
 will talk less and less about
 the image. (answer: we need to talk about
 the image, what you see)
 The butterfly has weird eyes",FC’+,(H) / Art
76,"Ça pour le coup (montre)
 ça me fait un peu froid dans le dos
 parce que ça me fait penser aux
 parasites que tu as dans les
 insectes de manière générale
 Ça leur fait des gros yeux que la
 normale parce qu’en fait il y a un
 parasite qui est à l’intérieur","That for once (shows)
 it gives me a bit of chills down my spine
 because it makes me think of
 parasites that you have in the
 insects in general
 It makes them look big-eyed when
 normal because in fact there is a
 parasite that is inside",C’FClob-,A
77,"Par contre à l’inverse, la
 queue elle est vachement classe et
 jolie.","Conversely, the
 tail she is really classy and
 pretty.",FC’-,Ad
78,"Fait notable et intéressant,
 il va vers l’avant, il est en train
 d’étendre les ailes pour se décoller","Notable and interesting fact,
 he is going forward, he is in the process
 to spread the wings to take off",kan+,A
79,"Parce qu’on pourrait le
 prendre dans ce sens-là, à l’inverse
 ça voudrait dire qu’il aurait déjà
 décollé, il a les ailes en haut enfin
 je sais pas Mais j’aime mieux cette image
 d’élancement surtout parce que la
 queue elle est plus parfaite","Because we could
 take it in this direction, the opposite
 that would mean that he would already have
 took off, his wings are finally up
 I don't know but I like this image better
 of slenderness especially because the
 tail she is more perfect",kan+,A
80,": Alors que là ce serait
 bizarre et les yeux ne seraient pas
 aussi je sais pas voilà voilà",": While there it would be
 weird and the eyes wouldn't be
 also I don't know that's it",FC’+,A
81,": Là ça me fait penser à
 Freddy Mercury (rire), mais bon
 faut de l’imagination mais je sais
 pas si tu vois cette photo ou il est
 comme ça en arrière (réponse oui)
 Le micro, la tête (montre) et ça
 marche aussi dans l’autre sens",": That reminds me of
 Freddy Mercury (laughing), but hey
 takes imagination but I know
 not if you see this photo where he is
 like that backwards (answer yes)
 The microphone, the head (points) and that
 also works the other way",K-,H
82,": Là je vois un menton, une
 bouche, un nez à moitié…
 Et en fait la façon dont c’est en
 avant, pour le coup c’est un peu
 plus, pas une image super agréable
 et jolie",": There I see a chin, a
 mouth, a half nose...
 And actually the way it is
 before, for now it's a bit
 plus, not a super pleasant image
 and pretty",F+,Hd
83,"T’as l’impression là c’est
 un… comment on appelle ça, heu
 merde, un bout de bois super
 grand sur lequel t’es accroché,
 comme si c’était quelqu’un qui
 était accroché à ça parce que ça
 ressemblerait plus à des bras qui
 sont liés derrière, un peu genre
 sorcière qui va être brulée
 Et le fait que ce soit un peu flou ça
 me fait évoquer le côté sorcière
 qui a déjà un peu démarré à brûler
 quoi avec la fumée
 C’est moins réjouissant, je
 préférais Freddy Mercury ˂ Cela dit quand il a la bouche
 fermée, il n’a pas l’air de crier de
 ouf
 Et là sur le même principe, et c’est
 marrant il a fallu que je le retourne
 car je ne le vois pas de ce côté-là,
 je vois vraiment la sorcière","You have the impression there it is
 a…what do we call it, uh
 shit, a great piece of wood
 big one on which you cling,
 as if it were someone who
 was hooked on it because it
 would look more like arms that
 are tied behind, a bit like
 witch who is going to be burned
 And the fact that it's a little blurry
 reminds me of the witch side
 which has already started to burn a little
 what with the smoke
 It's less joyful, I
 preferred Freddy Mercury ˂ That said when he has a mouth
 closed, it does not seem to scream
 phew
 And there on the same principle, and it is
 funny I had to return it
 because I don't see it from that side,
 I really see the witch",KC’E-,(H) / Frag
84,"Alors que de ce côté-là, on
 met Freddy Mercury là et tu vois
 plus qlq qui est accroché et ça fait
 plus pole dance, t’as la barre Et je pense que c’est bon oui, il y
 en a des plus inspirantes que
 d’autres","While on this side, we
 put Freddy Mercury there and see
 no longer anyone who is hooked and that's it
 no more pole dance, you have the bar And I think it's good yes, there
 has more inspiring ones than
 others",K -,H / obj
85,"Premier truc, ça me fait
 penser à un vaisseau de star wars
 le Xwing, bon après il n’est pas
 exactement comme ça mais ça
 m’y fait penser","First thing, it makes me
 think of a star wars ship
 the Xwing, well after that it is not
 exactly like that but this
 makes me think of it",F+,Obj
86,"Cette partie-là ça me fait
 penser à un poisson (cache le bas
 de l’image) vu du dessus, avec tu
 sais les poissons qui volent là avec
 du coup des ailes voilà vraiment
 vu du dessus quoi, ce côté genre
 du dessus","This part makes me
 think of a fish (hide the bottom
 of the image) seen from above, with you
 know the fish that fly there with
 so the wings are really there
 seen from above what, this side like
 from above",FE+,A
87,"Et ça tous ensemble ça me
 fait penser à une clef
 C’est une clef un peu chelou et
 donc ça… c’est juste qu’elle n’est
 pas très longue et t’imagines ca du
 coup (montre) qui est un peu plus
 allongé","And that all together gives me
 looks like a key
 It’s a bit of a weird key and
 so that… it’s just that she’s not
 not very long and you can imagine that
 blow (show) which is a little more
 elongate",F-,Obj
88,"Ça ça me fait penser à une
 tique avec des petites dents, des
 crochets.C’est marrant parce que je ne
 prends que des parts d’images","That reminds me of a
 tick with small teeth,
 hooks.It’s funny because I don’t
 only take parts of images",F+,Ad
89,"Vraiment dans son
 ensemble là où c’est le plus classe
 ça me refait penser à un rivage, de
 toute façon il y a le côté miroir qui
 fait quand même souvent penser à
 ça.Pour le coup encore plus paisible
 que tout à l’heure. Parce que tout à
 l’heure tu avais, le côté tu
 t’éloignes et tu te rapproches, tu
 vois, t’avais une notion de
 profondeur","Really in his
 together where it’s classiest
 It reminds me of a shore,
 anyway there is the mirror side which
 still often makes one think of
 that. Now even more peaceful
 than just now. Because everything
 the time you had, the side you
 you move away and you come closer, you
 see, you had a notion of
 depth",C’F-,Pays
90,"Mais là t’as plus
 l’impression que tu es en face d’un
 lac. Ouai, ça me fait plus penser à un lac. Et donc en fait, c’est genre
 de l’eau stagnante.
 Tu vois les trucs comme ça
 (montre), l’eau n’est pas agitée tu
 vois","But there you have more
 the impression that you are facing a
 lake. Yeah, that reminds me more of a lake. And so actually, it's like
 stagnant water.
 You see things like that
 (shows), the water is not agitated you
 see ",C-,Elem
91,"Mais ça fait quand même
 penser à un lac où genre, il pleut
 quoi, il y a genre des roseaux, des
 trucs comme ça
 Puis là ça fait plus, je sais pas
 quoi, j’arrive à imaginer le reste,
 une plaine ou je sais pas quoi
 (montre le gris foncé)","But it still does
 think of a lake where like, it's raining
 what, there are like reeds,
 stuff like that
 Then it's more, I don't know
 what, I can imagine the rest,
 a plain or I don't know what
 (shows dark gray)",C’kob-,"Elem / bot
 / pays"
92,"Et là tu vois c’est bizarre,
 parce que tu as le changement de
 couleurs, là c’est genre le ciel
 (montre le haut), et là t’as des
 herbes avec au loin la prairie
 fleurie, des trucs comme ça Une fois encore c’est zoomé en
 fait. (S’éloigne sur sa chaise avec
 la planche, la met à distance de ses
 yeux)
 Parce que c’est vrai qu’on pourrait
 s’amuser à regarder l’image
 encore plus éloignée et auquel
 cas… Je sais pas si tu vois ce que
 je veux dire, je m’éloigne pas
 vraiment mais… si tu changes
 l’échelle en fait","And there you see it’s weird,
 because you have the change of
 colors, it’s like the sky
 (points to the top), and there you have
 grass with meadow in the distance
 flowery, stuff like that Once again it's zoomed in
 do. (Walks away in his chair with
 the board, puts it away from its
 eyes)
 Because it’s true that we could
 have fun looking at the image
 even further away and to which
 case… I don’t know if you see what
 I mean, I'm not walking away
 really but… if you change
 the scale in fact",C’EF-,"Pays /
 Elem / Bot"
93,"Et ce genre de petites
 loupiotes là, ces éclaircissements,
 ça peut être des trucs de villes en
 fait, carrément, au loin et du coup
 ça a un horizon très lointain et du
 coup ce qui explique que ce soit
 un peu brouillard
 Typiquement ça, ça serait plus
 proche, genre t’arrives, je sais pas
 moi en bateau, t’arrives sur un truc
 comme ça et t’as les lumières de la
 nuit une fois encore Mais c’est marrant parce qu’en
 fait, pour pouvoir imaginer ça, ce
 que j’ai tendance à faire, c’est
 imaginer, enfin compenser le
 blanc en fait. Dans ma tête, tu
 vois, c’est-à-dire que cette partielà n’est pas logique dans cette
 image que je t’évoquais, si on
 essaie d’en faire un tableau heu…
 ça c’est pas logique donc j’occulte
 (pfiou-bruit pour l’enlever avec sa
 main), parce que sinon ça perd un
 peu de ça…(montre là où il remet
 du gris)","And this kind of small
 there, these clarifications,
 it could be city stuff
 done, squarely, in the distance and suddenly
 it has a very distant horizon and
 suddenly which explains why it is
 a little foggy
 Typically that would be more
 close, like you're coming, I don't know
 me on a boat, you arrive at something
 like that and you have the lights of the
 night once again But it's funny because in
 done, to be able to imagine that, that
 what I tend to do is
 imagine, finally compensate for the
 white actually. In my head, you
 see, that is to say that this part is not logical in this
 image that I evoked to you, if we
 try to make a picture of it uh...
 that's not logical so I'm hiding
 (pfiou-noise to remove it with its
 hand), because otherwise it loses a
 little of that…(shows where he puts
 gray)",C’E,Obj
94,"Ça ça fait un pistolet
 (piou-piou bruit de tir) Et ouai non, je sais pas, hum…","That makes a gun
 (peep-peep sound of gunfire) And yeah no, I don’t know, um…",F-,Obj
95,"Ça ça fait plus penser à
 des flammes","That makes me think more of
 flames",C’-,Elem
96,"Et donc tu es sûr, je sais
 pas moi genre heu… un bord de
 heu… une fois encore t’as le côté
 flotte, et t’as le côté forêt qui brûle
 quoi, incendie d’été ou je sais pas
 Du coup-là c’est beaucoup plus
 cohérent parce que c’est la fumée
 qui part de ça","And so you're sure, I know
 not me like uh... an edge of
 uh... once again you have the side
 floats, and you have the forest side that burns
 what, summer fire or I don't know
 So it's much more
 coherent because it's smoke
 who starts from that",C’kobE -,Elem / bot
97,"Ça, ça peut être une raie
 aussi, avec le truc qui pique mais
 heu… généralement c’est
 beaucoup plus fin quand même,
 mais fin voilà quoi.","That could be a line
 also, with the thing that stings but
 uh… generally it’s
 much finer though,
 but that's what.",F+,A
98,"Et là c’est un monsieur
 grincheux avec un œil, un gros pif,
 une bouche et un menton et pas
 beaucoup de cheveux sur le
 caillou Ouai je pense que c’est bon","And there it is a gentleman
 grumpy with one eye, a big nose,
 a mouth and a chin and not
 lots of hair on the
 pebble Yeah I think it's good",F-,H
99,"Moi je vois un lapin mais
 alors là il est compliqué à
 expliquer (rires).","I see a rabbit but
 then it is complicated to
 explain (laughs).",F-,A
140,Un gros derrière de fourmi.,A big ant's behind.,F-,Ad
141,"Un papillon avec une fourmi, une grosse tête, des petites mains avec un radar comme les abeilles. Un mélange de fourmi, papillon et abeille.","A butterfly with an ant, a big head, little hands with a radar like bees. A mixture of ant, butterfly and bee.",F-,(A)/Hd
145,"Un mort aux yeux rouges, la bouche ouverte, il a fumé un joint.","A dead man with red eyes, his mouth open, he smoked a joint.",F-C,(Hd)
150,"Un animal mort, je sais pas... peut-être une grenouille croisée avec un cul de mouche.","A dead animal, I don't know... maybe a frog crossed with a fly's ass.",F-,A
151,"Un scarabée avec des pinces pour se défendre avec un corps de grenouille, il est éclaté, car il manque la partie inférieure du corps et il a des yeux de mouche.","A beetle with claws to defend itself with the body of a frog, it is broken, because the lower part of the body is missing and it has the eyes of a fly.",FC-,(Ad)/Sg
160,Des ailes de papillon.,Butterfly wings.,F+,Ad
161,Un papillon.,A butterfly.,F+,A
162,"Un papillon avec des ailes de chauve-souris, avec des gueules pour calculer l'altitude.","A butterfly with bat wings, with mouths to calculate altitude.",F-,(A)
165,Des tripes... je ne sais pas,Guts...I don't know,F-,Anat
166,"Des trucs indiens, un totem avec des plumes.","Indian stuff, a totem with feathers.",F+E,Obj
167,"Une fourrure d'animal, mais ils ont retiré la tête. Il reste combien de planches ?","An animal fur, but they removed the head. How many boards are left?",EF,(Ad)
170,"Des têtes d'éléphant, ça doit appartenir à un chasseur.",Elephant heads must belong to a hunter.,F+,Ad
171,"Il y a des poutres pour tenir les têtes d'éléphants, c'est un chasseur qui les collectionne.","There are beams to hold elephant heads, a hunter collects them.",F-,Obj
172,Un animal volant mort accroché au-dessus.,A dead flying animal hanging above.,F-,Ad
176,"Deux tigres, deux lions, deux fauves quoi.","Two tigers, two lions, two wild animals.",F+,A
177,Des tripes.,Guts.,CF,Anat
178,"Ils se baladent sur un truc de sang, ils vont à l'apéritif.","They're walking around on something bloody, they're going to an aperitif.",kan +- C,A/Sg
181,Les boyaux normaux.,Normal hoses.,CF,Anat
182,Les boyaux fumés parce qu'ils sont verts.,The casings are smoked because they are green.,CF,Anat
