Réponse (French),Answer (English),Contenu,(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT,color_sum,threat_sum,fading_sum,form_sum,kinesthetics_sum
"Aller ca peut etre drole effectivement,un chapeau qui remonte sur les cotés,un peu russe,voilà","Come on, it can actually be funny, a hat that goes up the sides, a little Russian, that's it",Vet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"C'est bizarre,si on peut terminer là-dessus,l'ange là,le fait qu'il y ait une double bosse ic(montre),ca m'a fait un peu bizarre car ca fait le coté avec les mains comme ca(imite l'ange),c'est une espèce d'ange à deux etes tu vois,on voit bien,juste deux tetes c'est bizarre.","It's weird, if we can end on that, the angel there, the fact that there is a double hump here (watch), it made me a little strange because it makes the side with the hands like that (imitates the angel), it's a kind of angel with two heads you see, we can see clearly, just two heads is weird.",(H),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Il y a un truc qui me perturbe,ce n'est pas symétrique,il y a des taches la(montre) que tu ne vois pas là,ca me perturbe,ce n'est pas symétrique","There is something that bothers me, it's not symmetrical, there are spots on the (watch) that you don't see there, it bothers me, it's not symmetrical",Frag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Premier truc auquel ça me
 fait penser, et c’est marrant parce
 que c’est pas du tout la forme là,
 mais là, ce creux là, ce vide-là, ça
 me fait penser à quand tu fais un
 bisou avec du rouge à lèvre sur un
 truc et que du coup il reste le trou
 du… du truc… Le rouge ça me
 gêne grave","First thing that happened to me
 makes you think, and it's funny because
 that this is not the form at all,
 but there, this hollow there, this void there, this
 reminds me of when you make a
 kiss with lipstick on a
 thing and suddenly the hole remains
 something… something… Red is what I like
 serious discomfort",Frag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ça du coup (montre le bas
 de l’image), et c’est un peu gênant
 du coup (rires), mais ça, ça me fait
 penser à des hanches, et ça, le côté
 symétrique ça me fait penser à un
 vagin, mais c’est super flippant du
 coup, (longue pause) gênant plus
 que flippant mais bon…","So (points to the bottom)
 of the image), and it's a bit annoying
 so (laughs), but that makes me
 think about hips, and that, the side
 symmetrical it reminds me of a
 vagina, but it's super creepy
 suddenly, (long pause) annoying more
 that creepy but hey…",Hd/Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Et ensuite, c’est beaucoup
 plus drôle comme ça, ça me fait
 penser à un dromadaire, non
 chameau car deux bosses, avec la
 tête ici (montre) il n’a pas les
 jambes pas la queue mais il a la
 tête ici et une, deux bosses
 (montre), ça occulte un peu le truc
 car c’est pris de manière
 dissymétrique.","And then, it's a lot
 funnier like that, it makes me
 think of a camel, no
 camel because two humps, with the
 head here (shows) he doesn't have the
 legs not the tail but he has the
 head here and one, two bumps
 (shows), it obscures the thing a little
 because it is taken in such a way
 asymmetrical.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ça me fait penser à un
 animal marin dont j’ai oublié le
 nom Comme je ne le vois pas comme
 un tout, le côté dissymétrique me
 choque moins. D’ailleurs, il y en a
 moins j’ai l’impression.","It reminds me of a
 marine animal whose name I forgot
 noun As I don't see it as
 a whole, the asymmetrical side me
 shocks less. Moreover, there are
 less I feel.",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ça, c’est un nœud
 papillon mais c’est assez classique","That's a knot
 butterfly but it’s quite classic",Vet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Si on enlève le nœud
 papillon, il y a un serveur ici
 (cache droite), qui s’apprête à
 retirer une chaise et qui est
 légèrement en arrière et il y a
 quelqu’un qui fait la même chose
 de l’autre côté. Mais du coup, la
 table est minuscule.
 Mais là t’as vraiment le serveur
 avec la tête, les bras sur la chaise
 et avec les jambes et hum voilà
 (montre sur l’image).˄ Les tâches là m’évoquent pas
 grand-chose","If we remove the knot
 butterfly, there is a waiter here
 (right cover), which is about to
 remove a chair and who is
 slightly back and there is
 someone who does the same thing
 on the other side. But suddenly, the
 table is tiny.
 But there you really have the server
 with head, arms on chair
 and with the legs and um there you go
 (shown in the image).˄ The tasks there don’t remind me of
 much",H /Obj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Et alors comme ça, dans
 le sens-là, pour moi, un insecte,
 des gros yeux là (montre), des
 mandibules là (montre), et les
 papattes là (montre). Une fois
 encore, ça sous-entend d’occulter ça (cache les deux taches rouges
 de chaque côté en bas avec ses
 mains).Et en fait, je l’aime bien celui-ci
 par rapport aux autres","And then like that, in
 that means, for me, an insect,
 big eyes there (points),
 mandibles there (shows), and the
 papattes there (shows). Once
 again, that implies concealing that (hide the two red spots
 on each side at the bottom with its
 hands).And actually, I like this one
 compared to others",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Une fois encore tu peux
 reconnaitre des têtes (montre),
 t’aura quelqu’un qui ferait… je
 sais pas… Genre une fois encore
 les jambes (montre), et qui est en
 train de…
 Et là les bras encore, et qui est en
 train de s’étendre derrière comme
 ça (mime), comme s’il faisait de la
 gym avec les jambes en l’air.
 (cache le bas de l’image avec ses
 mains).Ouai faut un peu d’imagination
 mais heu…. Ça se fait encore bien.
 Après je suis d’accord que les
 formes et les proportions sont pas
 respectées mais c’est le truc que je
 vois en tous cas.˅ Ces tâches-là m’inspirent
 vraiment pas, nulle part je les vois
 dans aucuns trucs en fait.","Once again you can
 recognize heads (show),
 you will have someone who would… I
 I don’t know… Like once again
 legs (shows), and who is in
 train of…
 And there the arms again, and who is in
 stretching out behind like
 that (mimes), as if he were doing
 gym with legs in the air.
 (hides the bottom of the image with its
 hands).Yeah, you need a little imagination
 but uh…. It's still doing well.
 Afterwards I agree that the
 shapes and proportions are not
 respected but that’s the thing I
 see in any case.˅ These tasks inspire me
 really not, nowhere do I see them
 in no stuff actually.",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Ce qui est drôle dans le
 personnage qui remonte là c’est
 que genre il a une espèce de crête,
 tu vois, les cheveux un peu
 n’importe comment, genre un
 style…","What's funny about
 character who goes back there is
 that like it has a kind of crest,
 you see, the hair a little
 anyhow, like one
 style…",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Comme ça, ça me fait
 penser à… que le creux, les deux
 trous là en fait (montre), quand tu
 regardes un crâne sur une radio ça
 fait vraiment le trou des yeux
 parce qu’en fait c’est comme si
 t’avais le changement de densité
 ici (montre)","Like that, it makes me
 think about… that the hollow, the two
 holes there actually (show), when you
 look at a skull on a radio
 really catches the eye
 because in fact it’s as if
 you had the change in density
 here (shows)",Anat/Radio,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"Du coup ça me fait
 penser, si je peux inclure ça
 comme infos, au squelette, ça va te
 faire rire, de Indépendance Day,
 des méchants, des extraterrestres,
 c’est un espèce de squelette
 chelou, super évasé comme ça,
 voilà.","So it makes me
 think, if I can include that
 as information, to the skeleton, it suits you
 make people laugh, from Independence Day,
 bad guys, aliens,
 it's a kind of skeleton
 weird, super flared like that,
 There.",Squel / Art / (H),0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Ça casse tout car ça me
 fait penser à beaucoup de choses
 ici, genre une tête bah un buffle ou
 un sanglier, un truc comme ça tu
 vois (cache le reste de la planche
 avec ses mains).","It breaks everything because it
 makes you think of a lot of things
 here, like a head, a buffalo or
 a wild boar, something like that you
 see (hide the rest of the board
 with his hands).",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Et si tu le mets comme ça
 (incline la planche), ça fait des
 visages mais bon bref on s’en fout
 des détails","And if you put it like that
 (tilts the board), it makes
 faces but in short we don't care
 details",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ça ça me fait penser à des
 oreilles de cochons, je sais pas pourquoi mais tu sais les oreilles
 de cochons qui sont rabaissées","That makes me think of
 pig ears, I don't know why but you know ears
 of pigs who are demeaned",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Et quand tu caches comme
 ça, (enlève la tête de buffle) je suis
 sur le dos d’un cochon genre en
 train de le chevaucher, parce qu’en
 fait, t’as les oreilles et t’as le bout
 du nez, t’as même des épaules ça
 fait plus minotaure que cochon,
 c’est des épaules qui remontent
 Et tu vois tous ses trucs là, ces
 changements de densité, je sais
 pas, ça fait vachement pelage en
 fait, comme si t’étais derrière un
 minotaure comme ça.","And when you hide like
 that, (removes the buffalo head) I am
 on the back of a pig like in
 riding him, because
 done, you have the ears and you have the edge
 nose, you even have shoulders
 more minotaur than pig,
 it's shoulders that go up
 And you see all his stuff there, these
 density changes, I know
 no, it's really confusing
 done, as if you were behind a
 minotaur like that.",(A),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Alors ça c’est une ligne (la
 trace avec son doigt), de l’eau
 (montre le bas), pas de l’eau (montre le haut), pour faire simple
 ou l’inverse","So that’s a line (the
 trace with his finger), water
 (shows the bottom), not water (shows the top), to put it simply
 or the opposite",Elem,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Tu vois le fait que là ça
 part en profondeur par là-bas tu
 vois (à gauche), genre ici tu peux
 avoir des nénuphars, des machins,
 des trucs comme ça, et tu passes à
 côté de la flotte et tu as genre un
 lac ou un truc comme ça","You see the fact that there
 go deep over there you
 see (left), like here you can
 have water lilies, things,
 stuff like that, and you move on to
 side of the fleet and you have like a
 lake or something like that",Scen / Bot / Elem,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"En fait, on a l’impression
 que c’est un lac ou un canal plutôt,
 ça c’est le bord du canal ici
 (montre la ligne), donc tu as le
 reflet, ce qui est drôle car la nuit,
 t’as pas de reflet parce que t’as pas
 assez de lumière mais comme
 c’est sombre ça donne envie
 d’imaginer la nuit.","In fact, we have the impression
 whether it is a lake or a canal rather,
 This is the edge of the canal here
 (shows the line), so you have the
 reflection, which is funny because at night,
 you don't have a reflection because you don't have
 enough light but like
 it’s dark it makes you want
 to imagine the night.",Pays,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"T’as même si tu regardes
 bien tu as des espèces d’ombres
 ici, tu peux imaginer des gens qui
 se baladent, une fois encore
 comme c’est rare la nuit ou alors
 tu imagines le côté brumeux","You even if you look
 well you have some kind of shadows
 here you can imagine people who
 wander around, once again
 how rare it is at night or so
 you imagine the foggy side",Scen / Frag / H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"Ça ça me fait penser à un
 panache de train, je sais même pas
 si c’est pertinent ou pas","That reminds me of a
 train plume, I don't even know
 whether it's relevant or not",Frag,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Bah ça on dirait un
 papillon de nuit,","Well that looks like a
 night butterfly,",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ça me fait penser à
 Batman aussi (rires) Hum ça me fait penser au papillon
 de nuit plus qu’à Batman
 Et le papillon de nuit, et là je te
 raconte des histoires aussi, tu vois
 je t’avais dit qu’il me fallait un
 peu de temps pour me dérider,
 j’aurai plus de trucs à dire sur les
 cinq dernières du coup, je suis
 désolée (rires)
 Hum l’ambiance, le fait qu’on
 passe un test, que ce soit le
 Rorschach donc il y a un côté test plus psychologique que de
 personnalité dans ma tête mais
 voilà
 Le papillon de nuit ça me fait
 penser à, comment ça s’appelle, le
 silence des agneaux, et tout son
 thème autour du changement et de
 l’évolution que je trouve pour le
 coup très intéressant et qui est
 symbolisé par le papillon plus que
 le papillon de nuit mais heu par le
 papillon, par le côté hum, chenille,
 chrysalide, et changement de peau
 tu vois. Pour le coup, le film est un
 peu flippant mais assez sympa
 Après, moi, Qu’est
 -ce que ça veut
 dire par rapport à moi bah …. Je
 sais pas mais je te partage ce à
 quoi je pense et ça me fait penser à
 ça.
 Humm voilà voilà
 Après si je te partage plus que ça,
 c’est plus par rapport à l’image
 mais faut que tu me dises si c’est
 cohérent ou pas car du coup là je
 vais parler de moins en moins de
 l’image. (réponse : il faut parler de
 l’image, ce que tu vois )
 Le papillon il a des yeux chelou","It makes me think of
 Batman too (laughs) Hm, that reminds me of the butterfly
 at night more than at Batman
 And the moth, and there I
 tell stories too, you see
 I told you I needed one
 little time to relax,
 I will have more things to say about
 last five so, I am
 sorry (laughs)
 Hum the atmosphere, the fact that we
 take a test, whether it is
 Rorschach so there is a more psychological test side than
 personality in my head but
 There
 The moth makes me
 think about, what is it called, the
 silence of the lambs, and all its
 theme around change and
 the evolution that I find for the
 very interesting shot and which is
 symbolized by the butterfly more than
 the moth but uh by the
 butterfly, from the side hum, caterpillar,
 chrysalis, and skin change
 you see. For once, the film is a
 a bit creepy but quite nice
 Afterwards, me, what
 -whatever it wants
 say in relation to me bah…. I
 I don't know but I'll share this with you
 what I think and it makes me think of
 That.
 Hmm, there you go
 Afterwards if I share more than that with you,
 it's more compared to the image
 but you have to tell me if it’s
 coherent or not because then I
 will talk less and less about
 the image. (answer: we need to talk about
 the image, what you see)
 The butterfly has weird eyes",(H) / Art,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Ça pour le coup (montre)
 ça me fait un peu froid dans le dos
 parce que ça me fait penser aux
 parasites que tu as dans les
 insectes de manière générale
 Ça leur fait des gros yeux que la
 normale parce qu’en fait il y a un
 parasite qui est à l’intérieur","That for once (shows)
 it gives me a bit of chills down my spine
 because it makes me think of
 parasites that you have in the
 insects in general
 It makes them look big-eyed when
 normal because in fact there is a
 parasite that is inside",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Par contre à l’inverse, la
 queue elle est vachement classe et
 jolie.","Conversely, the
 tail she is really classy and
 pretty.",Ad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fait notable et intéressant,
 il va vers l’avant, il est en train
 d’étendre les ailes pour se décoller","Notable and interesting fact,
 he is going forward, he is in the process
 to spread the wings to take off",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Parce qu’on pourrait le
 prendre dans ce sens-là, à l’inverse
 ça voudrait dire qu’il aurait déjà
 décollé, il a les ailes en haut enfin
 je sais pas Mais j’aime mieux cette image
 d’élancement surtout parce que la
 queue elle est plus parfaite","Because we could
 take it in this direction, the opposite
 that would mean that he would already have
 took off, his wings are finally up
 I don't know but I like this image better
 of slenderness especially because the
 tail she is more perfect",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
": Alors que là ce serait
 bizarre et les yeux ne seraient pas
 aussi je sais pas voilà voilà",": While there it would be
 weird and the eyes wouldn't be
 also I don't know that's it",A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
": Là ça me fait penser à
 Freddy Mercury (rire), mais bon
 faut de l’imagination mais je sais
 pas si tu vois cette photo ou il est
 comme ça en arrière (réponse oui)
 Le micro, la tête (montre) et ça
 marche aussi dans l’autre sens",": That reminds me of
 Freddy Mercury (laughing), but hey
 takes imagination but I know
 not if you see this photo where he is
 like that backwards (answer yes)
 The microphone, the head (points) and that
 also works the other way",H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
": Là je vois un menton, une
 bouche, un nez à moitié…
 Et en fait la façon dont c’est en
 avant, pour le coup c’est un peu
 plus, pas une image super agréable
 et jolie",": There I see a chin, a
 mouth, a half nose...
 And actually the way it is
 before, for now it's a bit
 plus, not a super pleasant image
 and pretty",Hd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
